,Poll End Date,Source,Voting Intention,LIBERAL,NATIONAL,COALITION,ALP,GREENS,PALMER UNITED,FAMILY FIRST,DEMOCRATS,PAULINE HANSON / ONE NATION,OTHERS,Two Party Preferred,COALITION (2PP),LABOR (2PP),PM Satisfaction,SATISFIED (PM),DISSATISFIED (PM),LOTO Satisfaction,SATISFIED (LOTO),DISSATISFIED (LOTO),Preferred PM,PRIME MINISTER (PPM),OPPOSITION LEADER (PPM),,PRIME MINISTER,OPPOSITION LEADER
41_LNC_JHo_ALP_KB,17-Jun-06,Nielsen,,,,41,36,11,,,2,1,9,,49,51,,54,38,,39,48,,54,33,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,11-Jun-06,Morgan,,,,39.5,42,8,,2.5,2,1.5,4.5,,47,53,,,,,,,,,,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,28-May-06,Newspoll,,36,4,40,39,7,,,,,14,,48,52,,48,42,,32,53,,55,23,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,28-May-06,Morgan,,,,42,41,7.5,,3,1.5,1,4,,48.5,51.5,,,,,,,,,,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,20-May-06,Nielsen,,,,41,40,11,,,2,1,5,,46,54,,53,42,,39,51,,54,34,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,14-May-06,Newspoll,,37,6,43,39,6,,,,,12,,50,50,,49,39,,34,52,,53,25,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,14-May-06,Morgan,,,,42,40.5,7,,1.5,2.5,0.5,6,,49,51,,,,,,,,,,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,07-May-06,Morgan,,,,39,42,9.5,,1.5,2.5,1,4.5,,46.5,53.5,,,,,,,,,,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,30-Apr-06,Newspoll,,37,5,42,37,7,,,,,14,,51,49,,47,44,,31,57,,56,25,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,30-Apr-06,Morgan,,,,40,39,8.5,,2.5,2.5,1,6.5,,48.5,51.5,,,,,,,,,,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,23-Apr-06,Nielsen,,,,43,38,10,,,2,1,7,,49,51,,49,44,,30,57,,52,32,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,16-Apr-06,Morgan,,,,38.5,42,9.5,,2.5,1.5,0.5,5.5,,46,54,,,,,,,,,,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,09-Apr-06,Newspoll,,36,5,41,39,7,,,,,13,,48,52,,47,45,,26,61,,56,23,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,02-Apr-06,Morgan,,,,39,43.5,8,,2,1.5,1,5,,46,54,,,,,,,,,,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,26-Mar-06,Nielsen,,,,43,37,8,,,2,1,8,,50,50,,56,35,,32,54,,59,27,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,26-Mar-06,Newspoll,,37,4,41,42,4,,,,,13,,47,53,,53,39,,29,58,,58,23,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,19-Mar-06,Morgan,,,,44,38.5,8.5,,2.5,1.5,1,4,,51,49,,,,,,,,,,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,12-Mar-06,Newspoll,,41,4,45,35,6,,,,,14,,53,47,,52,37,,27,60,,61,18,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,05-Mar-06,Morgan,,,,43,39.5,8,,2,1.5,1,5,,50,50,,,,,,,,,,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,26-Feb-06,Nielsen,,,,42,40,10,,,2,1,7,,48,52,,52,41,,42,46,,50,36,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,26-Feb-06,Newspoll,,37,4,41,39,7,,,,,13,,49,51,,46,43,,33,52,,53,27,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,19-Feb-06,Morgan,,,,40,40.5,8,,2,2.5,1,6,,47.5,52.5,,,,,,,,,,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,12-Feb-06,Newspoll,,36,5,41,39,5,,,,,15,,49,51,,45,47,,36,48,,51,28,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,05-Feb-06,Morgan,,,,40.5,42,8,,2,1.5,1,5,,47.5,52.5,,,,,,,,,,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,29-Jan-06,Nielsen,,,,43,36,11,,,2,1,5,,51,49,,52,39,,41,43,,54,34,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,29-Jan-06,Newspoll,,37,7,44,36,7,,,,,13,,52,48,,51,39,,32,48,,54,26,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,29-Jan-06,Morgan,,,,42,38,8.5,,2.5,2,1,6,,50,50,,,,,,,,,,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,15-Jan-06,Newspoll,,41,4,45,37,7,,,,,11,,52,48,,51,40,,36,47,,56,25,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,15-Jan-06,Morgan,,,,39,43,8,,3,2,1,4,,46,54,,,,,,,,,,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,18-Dec-05,Newspoll,,36,5,41,39,7,,,,,13,,49,51,,43,46,,33,51,,,,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,18-Dec-05,Nielsen,,,,39,39,10,,,3,2,7,,45,55,,46,45,,39,48,,47,39,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,18-Dec-05,Morgan,,,,39.5,39.5,10.5,,3,1.5,1.5,4.5,,48,52,,,,,,,,,,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,11-Dec-05,Morgan,,,,38.5,42,10,,2.5,2,1,4,,46,54,,,,,,,,,,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,04-Dec-05,Newspoll,,34,4,38,42,6,,,,,14,,46,54,,42,48,,36,44,,50,29,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,27-Nov-05,Morgan,,,,35.5,45.5,9,,2,2,1.5,4.5,,43,57,,,,,,,,,,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,20-Nov-05,Newspoll,,35,4,39,42,7,,,,,12,,46,54,,43,48,,35,51,,51,29,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,20-Nov-05,Nielsen,,,,37,43,10,,,2,1,8,,42,58,,43,50,,39,47,,45,43,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,12-Nov-05,Morgan,,,,43.5,38,9,,2,1.5,,6,,51,49,,,,,,,,,,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,06-Nov-05,Newspoll,,37,4,41,39,8,,,,,12,,49,51,,41,50,,32,53,,50,28,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,06-Nov-05,Morgan,,,,38.5,43,9.5,,2,1.5,1,4.5,,46,54,,,,,,,,,,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,30-Oct-05,Morgan,,,,39,41,9.5,,2,2.5,1,5,,47,53,,,,,,,,,,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,23-Oct-05,Newspoll,,34,3,37,40,9,,,,,14,,46,54,,43,45,,31,50,,50,26,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,23-Oct-05,Nielsen,,,,43,36,10,,,3,1,6,,48,52,,49,43,,35,50,,52,35,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,16-Oct-05,Morgan,,,,39.5,41.5,9,,2,2,1.5,4.5,,47,53,,,,,,,,,,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,09-Oct-05,Newspoll,,38,5,43,37,7,,,,,13,,51,49,,50,41,,32,50,,57,23,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,02-Oct-05,Morgan,,,,42,38.5,9,,2,2.5,1.5,4.5,,49.5,50.5,,,,,,,,,,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,25-Sep-05,Nielsen,,,,43,35,10,,,3,1,9,,51,49,,53,40,,37,52,,55,33,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,25-Sep-05,Newspoll,,39,5,44,34,8,,,,,14,,53,47,,47,40,,33,49,,53,26,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,18-Sep-05,Morgan,,,,44,34.5,10,,2,2.5,1.5,5.5,,52.5,47.5,,,,,,,,,,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,11-Sep-05,Newspoll,,37,4,41,39,7,,,,,13,,49,51,,48,43,,36,45,,51,27,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,11-Sep-05,Morgan,,,,39.5,41.5,7,,3,1.5,0.5,7,,47,53,,,,,,,,,,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,04-Sep-05,Morgan,,,,44,37,8.5,,3,1.5,1,5,,51.5,48.5,,,,,,,,,,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,28-Aug-05,Nielsen,,,,44,36,10,,,3,1,6,,50,50,,51,41,,38,48,,53,36,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,28-Aug-05,Newspoll,,37,5,42,40,6,,,,,12,,49,51,,52,40,,32,50,,56,27,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,21-Aug-05,Morgan,,,,39,41.5,8,,3,2,1.5,5,,46.5,53.5,,,,,,,,,,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,14-Aug-05,Newspoll,,41,4,45,37,7,,,,,11,,52,48,,50,39,,31,51,,57,25,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,07-Aug-05,Morgan,,,,41.5,42,7.5,,2,2,1,4,,48,52,,,,,,,,,,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,31-Jul-05,Nielsen,,,,43,38,11,,,3,1,5,,48,52,,51,41,,40,48,,53,36,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,31-Jul-05,Newspoll,,37,5,42,41,7,,,,,10,,49,51,,52,37,,34,46,,54,26,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,24-Jul-05,Morgan,,,,41.5,38.5,8,,1.5,2.5,2,6,,49.5,50.5,,,,,,,,,,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,17-Jul-05,Newspoll,,40,5,45,39,5,,,,,11,,51,49,,49,40,,33,46,,55,25,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,10-Jul-05,Morgan,,,,42.5,40.5,7.5,,2.5,1.5,1,4.5,,49,51,,,,,,,,,,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,03-Jul-05,Newspoll,,39,5,44,39,6,,,,,11,,50,50,,47,44,,39,45,,51,29,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,03-Jul-05,Nielsen,,,,40,41,10,,,2,1,5,,46,54,,49,44,,42,45,,50,39,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,26-Jun-05,Morgan,,,,42,39.5,9,,2.5,2,1,4,,49.5,50.5,,,,,,,,,,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,19-Jun-05,Newspoll,,40,44,44,37,7,,,,,12,,51,49,,54,36,,41,42,,54,28,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,12-Jun-05,Morgan,,,,43.5,39.5,7.5,,2,1.5,1.5,4.5,,50,50,,,,,,,,,,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,05-Jun-05,Nielsen,,,,44,38,9,,,2,2,6,,51,49,,59,35,,46,41,,55,35,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,29-May-05,Newspoll,,41,6,47,37,5,,,,,11,,53,47,,53,36,,47,36,,54,29,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,29-May-05,Morgan,,,,45,39,7.5,,1.5,1.5,0.5,5,,51.5,48.5,,,,,,,,,,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,15-May-05,Newspoll,,41,4,45,40,6,,,,,9,,51,49,,55,36,,47,36,,52,31,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,15-May-05,Morgan,,,,43,41,8,,2,1.5,0.5,4,,49.5,50.5,,,,,,,,,,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,08-May-05,Nielsen,,,,43,39,10,,,2,1,6,,49,51,,53,40,,49,36,,52,38,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,01-May-05,Newspoll,,42,4,46,38,6,,,,,10,,52,48,,51,38,,47,31,,52,31,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,24-Apr-05,Morgan,,,,42,40,8.5,,1.5,2,1,5,,49,51,,,,,,,,,,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,17-Apr-05,Newspoll,,41,4,45,39,5,,,,,11,,51,49,,49,41,,52,28,,52,31,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,10-Apr-05,Nielsen,,,,43,39,10,,,2,2,5,,48,52,,53,38,,55,30,,52,38,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,10-Apr-05,Morgan,,,,40.5,43,8,,2,1.5,1.5,3.5,,47,53,,,,,,,,,,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,08-Apr-05,Morgan,,,,42,42.5,8,,1.5,1.5,1,3.5,,48,52,,,,,,,,,,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,03-Apr-05,Newspoll,,39,4,43,41,5,,,,,11,,49,51,,56,35,,51,27,,52,31,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,27-Mar-05,Morgan,,,,44,39,8,,2,1.5,1,4.5,,50.5,49.5,,,,,,,,,,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,20-Mar-05,Newspoll,,43,4,47,36,6,,,,,11,,54,46,,57,37,,49,30,,54,30,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,13-Mar-05,Nielsen,,,,41,39,11,,,1,2,6,,48,52,,54,39,,49,33,,50,40,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,13-Mar-05,Morgan,,,,44.5,37,10,,2.5,1,1,4,,52,48,,,,,,,,,,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,06-Mar-05,Newspoll,,41,4,45,37,5,,,,,13,,52,48,,57,36,,45,32,,54,31,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,06-Mar-05,Morgan,,,,44.5,43,7,,2.5,1.5,1,0.5,,48,52,,,,,,,,,,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,27-Feb-05,Morgan,,,,46,38.5,7.5,,1,2,0.5,4.5,,52,48,,,,,,,,,,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,20-Feb-05,Newspoll,,43,4,47,38,6,,,,,9,,53,47,,58,32,,43,26,,54,29,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,13-Feb-05,Nielsen,,,,47,36,9,,,1,1,5,,52,48,,62,32,,50,31,,56,35,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,13-Feb-05,Morgan,,,,45,37.5,9,,2,2,1,3.5,,52,48,,,,,,,,,,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,06-Feb-05,Newspoll,,44,4,48,37,6,,,,,9,,54,46,,63,28,,40,22,,56,27,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,30-Jan-05,Morgan,,,,45,38,8,,2,2,1.5,3.5,,51.5,48.5,,,,,,,,,,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_KB,28-Jan-05,LOTO Change,,,,,,,,,,,,,,,,,,,,,,,,,MR JOHN HOWARD,MR KIM BEAZLEY
41_LNC_JHo_ALP_ML,23-Jan-05,Newspoll,,43,3,46,37,7,,,,,10,,53,47,,60,30,,34,50,,58,31,,MR JOHN HOWARD,MR MARK LATHAM
41_LNC_JHo_ALP_ML,22-Jan-05,Nielsen,,,,52,34,8,,,2,1,4,,57,43,,67,28,,,,,60,35,,MR JOHN HOWARD,MR MARK LATHAM
41_LNC_JHo_ALP_ML,16-Jan-05,Morgan,,,,47,37,7.5,,2,1.5,1,4,,53,47,,,,,,,,,,,MR JOHN HOWARD,MR MARK LATHAM
41_LNC_JHo_ALP_ML,19-Dec-04,Newspoll,,42,4,46,39,6,,,,,9,,52,48,,58,34,,34,50,,60,24,,MR JOHN HOWARD,MR MARK LATHAM
41_LNC_JHo_ALP_ML,19-Dec-04,Morgan,,,,45.5,36.5,9.5,,2,1.5,1.5,3.5,,52.5,47.5,,,,,,,,,,,MR JOHN HOWARD,MR MARK LATHAM
41_LNC_JHo_ALP_ML,05-Dec-04,Newspoll,,43,4,47,33,8,,,,,12,,55,45,,56,35,,38,46,,60,25,,MR JOHN HOWARD,MR MARK LATHAM
41_LNC_JHo_ALP_ML,05-Dec-04,Morgan,,,,46.5,36,9,,2.5,1.5,1,3.5,,53,47,,,,,,,,,,,MR JOHN HOWARD,MR MARK LATHAM
41_LNC_JHo_ALP_ML,21-Nov-04,Newspoll,,43,3,46,38,6,,,,,10,,53,47,,57,33,,42,39,,57,27,,MR JOHN HOWARD,MR MARK LATHAM
41_LNC_JHo_ALP_ML,21-Nov-04,Morgan,,,,44,39,8.5,,1.5,2,1,4,,50.5,49.5,,,,,,,,,,,MR JOHN HOWARD,MR MARK LATHAM
41_LNC_JHo_ALP_ML,07-Nov-04,Morgan,,,,44.5,39.5,8.5,,2,2,1,2.5,,50.5,49.5,,,,,,,,,,,MR JOHN HOWARD,MR MARK LATHAM
41_LNC_JHo_ALP_ML,17-Oct-04,Morgan,,,,46.5,37.5,7.5,,,1.5,1.5,5.5,,52.5,47.5,,,,,,,,,,,MR JOHN HOWARD,MR MARK LATHAM
41_LNC_JHo_ALP_ML,09-Oct-04,Election,,,,46.7,37.6,7.2,,0,0,0,8.5,,52.8,47.2,,,,,,,,,,,MR JOHN HOWARD,MR MARK LATHAM
41_LNC_JHo_ALP_ML,09-Oct-04,Morgan,,,,46.4,37.6,7.2,,2,1.2,1.2,4.4,,52.7,47.3,,,,,,,,,,,MR JOHN HOWARD,MR MARK LATHAM
40_LNC_JHo_ALP_ML,08-Oct-04,Morgan,,,,50.5,38.5,9.5,,,1,1,4.5,,49,51,,,,,,,,,,,MR JOHN HOWARD,MR MARK LATHAM
40_LNC_JHo_ALP_ML,07-Oct-04,Nielsen,,,,49,37,7,,,1,1,5,,54,46,,60,36,,50,40,,53,39,,MR JOHN HOWARD,MR MARK LATHAM
40_LNC_JHo_ALP_ML,07-Oct-04,Newspoll,,41,4,45,39,7,,,1,1,7,,50,50,,53,41,,54,31,,51,36,,MR JOHN HOWARD,MR MARK LATHAM
40_LNC_JHo_ALP_ML,03-Oct-04,Newspoll,,42,4,46,39,7,,,1,,7,,50.5,49.5,,52,36,,48,32,,49,32,,MR JOHN HOWARD,MR MARK LATHAM
40_LNC_JHo_ALP_ML,03-Oct-04,Morgan,,,,45.5,40.5,9,,,2,1,6,,48.5,51.5,,,,,,,,,,,MR JOHN HOWARD,MR MARK LATHAM
40_LNC_JHo_ALP_ML,02-Oct-04,Nielsen,,,,48,39,8,,,1,1,4,,52,48,,57,38,,53,37,,52,40,,MR JOHN HOWARD,MR MARK LATHAM
40_LNC_JHo_ALP_ML,26-Sep-04,Newspoll,,39,4,43,40,7,,,1,,9,,48,52,,50,39,,51,32,,48,35,,MR JOHN HOWARD,MR MARK LATHAM
40_LNC_JHo_ALP_ML,26-Sep-04,Morgan,,,,48,40,9,,,1,1,5,,50,50,,,,,,,,,,,MR JOHN HOWARD,MR MARK LATHAM
40_LNC_JHo_ALP_ML,23-Sep-04,Nielsen,,,,50,36,8,,,1,1,4,,54,46,,58,36,,51,40,,52,39,,MR JOHN HOWARD,MR MARK LATHAM
40_LNC_JHo_ALP_ML,19-Sep-04,Newspoll,,40,3,43,41,7,,,1,,8,,47.5,52.5,,51,42,,53,31,,47,37,,MR JOHN HOWARD,MR MARK LATHAM
40_LNC_JHo_ALP_ML,19-Sep-04,Morgan,,,,45,41,7.5,,,2,1,6,,47,53,,,,,,,,,,,MR JOHN HOWARD,MR MARK LATHAM
40_LNC_JHo_ALP_ML,16-Sep-04,Nielsen,,,,48,40,8,,,1,1,3,,51,49,,56,38,,55,34,,49,42,,MR JOHN HOWARD,MR MARK LATHAM
40_LNC_JHo_ALP_ML,12-Sep-04,Newspoll,,42,4,46,40,6,,,1,,7,,50,50,,53,39,,52,30,,50,33,,MR JOHN HOWARD,MR MARK LATHAM
40_LNC_JHo_ALP_ML,12-Sep-04,Morgan,,,,42,43.5,8,,,2,1,5.5,,45.5,54.5,,,,,,,,,,,MR JOHN HOWARD,MR MARK LATHAM
40_LNC_JHo_ALP_ML,05-Sep-04,Nielsen,,,,46,40,9,,,2,1,3,,50,50,,55,39,,51,37,,51,40,,MR JOHN HOWARD,MR MARK LATHAM
40_LNC_JHo_ALP_ML,05-Sep-04,Newspoll,,42,3,45,40,8,,,1,,6,,50,50,,51,40,,49,34,,49,37,,MR JOHN HOWARD,MR MARK LATHAM
40_LNC_JHo_ALP_ML,05-Sep-04,Morgan,,,,41.5,43,10.5,,,2,0.5,5.5,,44,56,,,,,,,,,,,MR JOHN HOWARD,MR MARK LATHAM
40_LNC_JHo_ALP_ML,29-Aug-04,Newspoll,,39,4,43,40,6,,,1,,10,,48,52,,49,42,,49,34,,48,34,,MR JOHN HOWARD,MR MARK LATHAM
40_LNC_JHo_ALP_ML,22-Aug-04,Morgan,,,,41.5,43.5,9,,,2,1.5,5,,44.5,55.5,,,,,,,,,,,MR JOHN HOWARD,MR MARK LATHAM
40_LNC_JHo_ALP_ML,15-Aug-04,Nielsen,,,,42,39,9,,,2,3,4,,47,53,,54,40,,54,34,,51,43,,MR JOHN HOWARD,MR MARK LATHAM
40_LNC_JHo_ALP_ML,15-Aug-04,Newspoll,,36,3,39,42,6,,,1,1,11,,46,54,,50,40,,51,32,,47,36,,MR JOHN HOWARD,MR MARK LATHAM
40_LNC_JHo_ALP_ML,08-Aug-04,Morgan,,,,41.5,43,8,,,2.5,1,5.5,,46.5,53.5,,,,,,,,,,,MR JOHN HOWARD,MR MARK LATHAM
40_LNC_JHo_ALP_ML,01-Aug-04,Newspoll,,41,4,45,40,6,,,1,,8,,50,50,,54,36,,47,36,,51,34,,MR JOHN HOWARD,MR MARK LATHAM
40_LNC_JHo_ALP_ML,25-Jul-04,Morgan,,,,44,42,7.5,,,2.5,1,5.5,,47,53,,,,,,,,,,,MR JOHN HOWARD,MR MARK LATHAM
40_LNC_JHo_ALP_ML,18-Jul-04,Nielsen,,,,44,40,9,,,2,1,4,,48,52,,53,42,,50,38,,50,41,,MR JOHN HOWARD,MR MARK LATHAM
40_LNC_JHo_ALP_ML,18-Jul-04,Newspoll,,40,3,43,40,7,,,1,,9,,49,51,,51,40,,46,34,,48,33,,MR JOHN HOWARD,MR MARK LATHAM
40_LNC_JHo_ALP_ML,11-Jul-04,Morgan,,,,44,46,8,,,2,0.5,2,,46,54,,,,,,,,,,,MR JOHN HOWARD,MR MARK LATHAM
40_LNC_JHo_ALP_ML,04-Jul-04,Newspoll,,38,5,43,41,6,,,1,,9,,49,51,,51,40,,49,35,,50,33,,MR JOHN HOWARD,MR MARK LATHAM
40_LNC_JHo_ALP_ML,04-Jul-04,Morgan,,,,45,43.5,7,,,2,0.5,4.5,,48.5,51.5,,,,,,,,,,,MR JOHN HOWARD,MR MARK LATHAM
40_LNC_JHo_ALP_ML,27-Jun-04,Morgan,,,,44.5,45.5,6.5,,,2,1,4,,46,54,,,,,,,,,,,MR JOHN HOWARD,MR MARK LATHAM
40_LNC_JHo_ALP_ML,20-Jun-04,Newspoll,,39,4,43,43,5,,,1,1,7,,48,52,,53,37,,54,29,,48,36,,MR JOHN HOWARD,MR MARK LATHAM
40_LNC_JHo_ALP_ML,19-Jun-04,Nielsen,,,,43,42,8,,,2,1,3,,48,52,,54,39,,55,31,,50,41,,MR JOHN HOWARD,MR MARK LATHAM
40_LNC_JHo_ALP_ML,13-Jun-04,Morgan,,,,45,43.5,7,,,1.5,1,4.5,,47,53,,,,,,,,,,,MR JOHN HOWARD,MR MARK LATHAM
40_LNC_JHo_ALP_ML,30-May-04,Newspoll,,42,5,47,37,6,,,1,1,8,,53,47,,57,35,,54,30,,54,32,,MR JOHN HOWARD,MR MARK LATHAM
40_LNC_JHo_ALP_ML,30-May-04,Morgan,,,,42.5,45.5,7,,,3,1,3.5,,45,55,,,,,,,,,,,MR JOHN HOWARD,MR MARK LATHAM
40_LNC_JHo_ALP_ML,23-May-04,Nielsen,,,,39,43,10,,,2,1,4,,44,56,,52,41,,58,29,,47,43,,MR JOHN HOWARD,MR MARK LATHAM
40_LNC_JHo_ALP_ML,16-May-04,Newspoll,,37,4,41,44,5,,,1,,9,,46,54,,54,38,,57,24,,50,33,,MR JOHN HOWARD,MR MARK LATHAM
40_LNC_JHo_ALP_ML,16-May-04,Morgan,,,,44.5,41,8,,,2.5,2,4,,47.5,52.5,,,,,,,,,,,MR JOHN HOWARD,MR MARK LATHAM
40_LNC_JHo_ALP_ML,02-May-04,Newspoll,,38,4,42,42,5,,,2,1,8,,48,52,,53,40,,53,29,,49,36,,MR JOHN HOWARD,MR MARK LATHAM
40_LNC_JHo_ALP_ML,25-Apr-04,Nielsen,,,,42,42,8,,,2,2,4,,47,53,,55,37,,54,33,,50,41,,MR JOHN HOWARD,MR MARK LATHAM
